"Author","Year","Accession","Replicate","Quantitation","Species","File"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F16.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F17.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F19.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F20.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F21.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F22.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F23.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F24.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F25.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F26.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F27.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F28.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F29.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F30.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F31.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F32.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F33.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F34.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F35.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F36.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F37.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F38.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F39.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F40.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F41.RAW"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F42.RAW"
