,,,,,,,,
Species,Cell/Tissue,Sample loading,Fractionation method,Fractionation numbers,Name on website,Sample source,,
Human,CB660 neural stem cell line,2.5mg,Heparin_IEX,108,Hs_HCW_1,Patrick  Paddison  FHCRC,,
, G166 glioma stem cell line,4.0mg,Heparin_IEX,101,Hs_HCW_2,,,
,,,,108,Hs_HCW_3,,,
,Hela nuclear,2-10mg,Heparin-IEX,137,Hs_HCW_8,Emili & Marcotte labs,,
,,,,125,Hs_HCW_9,,,
,,,"isoelectric, sucrose, triple-phase IEX",131,Hs_external_1,,,
,,,,125,Hs_external_2,,,
,,,,10,Hs_external_9,,,
,,,,10,Hs_external_10,,,
,,,,14,Hs_external_11,,,
,,,,50,Hs_external_14,,,
,,,,203,Hs_external_15,,,
,,,,192,Hs_external_16,,,
,,,,204,Hs_external_17,,,
,Hek293 nuclear,,Heparin-IEX,125,Hs_HCW_7,,,
,,,,130,Hs_HCW_6,,,
,,,"isoelectric, sucrose, triple-phase IEX",119,Hs_external_12,,,
,,,,109,Hs_external_13,,,
,Hela cytosolic,,"heparin, dual heparin",10,Hs_external_3,,,
,,,,10,Hs_external_4,,,
,,,,14,Hs_external_5,,,
,,,,286,Hs_external_6,,,
,,,,256,Hs_external_7,,,
,,,,43,Hs_external_8,,,
,Hek293 Kinase enriched,~2mg,IEX,95,Hs_HCW_4,,,
,Hek293 soluable,,,108,Hs_IEX_1,,,
,,,,94,Hs_IEX_2,,,
,Hek293 membrane,,,72,Hs_HCW_5,,,
Mouse,Mouse stem cell,2.6mg,Heparin_IEX,119,Mm_HCW_1,Peter Zandstra              U of T,,
,,,,109,Mm_HCW_2,,,
Sea urchin,UN-unfertilized,1.2mg,Heparin-IEX,110,Sp_HCW_5,Kathy Foltz               UCSB,,
,PF5 -5min post fertilization,,,110,Sp_HCW_4,,,
,2 Cell -98% of culture cleaved,,,110,Sp_HCW_2,,,
,BL Ðhatched blastula                      ,,,129,Sp_HCW_3,,,
,UN-unfertilized,8mg,,102,Sp_HCW_1,,,
,Mix of stages,5mg,IEX,60,Sp_HCW_6,,,
,,,,63,Sp_IEX_1,,,
,,3mg,Beads enrichment + IEX,61,Sp_Bead_IEX_1,,,
,,,,63,Sp_Bead_IEX_2,,,
,,,,60,Sp_Bead_IEX_3,,,
Drosophila,embryo Nuclear extract,3.5-5mg,Heparin_IEX,109,Dm_HCW_1,Alexander Brehm Philipps-University Marburg,,
,,,,108,Dm_HCW_3,,,
,SL2 Nuclear extract,,,108,Dm_HCW_2,,,
,SL2 whole cell extract,,,110,Dm_HCW_4,,,
C.elegans,L4 stage whole protein extract,2-6 mg,Heparin-IEX,115,Ce_HCW_1,Brent Derry          Sickkids,,
,,,,110,Ce_HCW_2,,,
,,3.5mg+10ug UPS2,Heparin_IEX,115,Ce_HCW_3,,,
,L1-L4 mixture,3-4mg,Beads enrichment + IEX,60,Ce_Bead_IEX_1,,,
,,,,60,Ce_Bead_IEX_2,,,
,,,,61,Ce_Bead_IEX_3,,,
,,,,60,Ce_Bead_IEX_4,,,
,,,,59,Ce_Bead_IEX_5,,,
,,,,61,Ce_Bead_IEX_6,,,
,,,,60,Ce_Bead_IEX_7,,,
,,,,63,Ce_Bead_IEX_8,,,
Frog,stage 15 embryo,1.8mg,sucrose,24,hold out,Marcotte & Wallingford labs,,
,"heart, liver",2.5mg,,25,,,,
,cap,0.6mg,,19,,,,
,"heart,liver, hemoglobin depleted",2mg,,22,,,,
Sea  anemone,unfertilized egg,4mg,Heparin-IEX,110,hold out,Joel Smith                  MBL,,
,,~3mg,IEX,96,,,,
,,,,87,,,,
,,,,82,,,,
,,,,70,,,,
,,,,70,,,,
Yeast,W303 wild type,~5mg,Heparin-IEX,108,hold out,Emili lab,,
Dictyostelium discoideum,Ax4,5mg,Heparin-IEX,110,hold out,Chi-Hung Siu             U of T,,
,,,,110,,,,
,,,,110,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
